waypoint class initialized
waypoint class initialized
next 6771.39 5377.06
pose 6771.41 5377.52
next 6771.39 5377
pose 6771.4 5377.37
next 6771.37 5376.41
pose 6771.4 5377.22
next 6771.37 5376.33
pose 6771.4 5377
next 6771.37 5376.22
pose 6771.39 5376.77
next 6771.36 5376.1
pose 6771.39 5376.77
next 6771.36 5376.1
pose 6771.37 5376.47
next 6771.35 5375.95
pose 6771.37 5376.47
next 6771.35 5375.95
pose 6771.36 5376.24
next 6771.33 5375.44
pose 6771.36 5376.16
next 6771.33 5375.44
pose 6771.36 5375.93
next 6771.33 5375.44
pose 6771.35 5375.78
next 6771.33 5375.44
pose 6771.33 5375.62
next 6771.33 5375.44
pose 6771.32 5375.39
next 6771.33 5374.4
pose 6771.32 5375.39
next 6771.33 5374.4
pose 6771.32 5375.24
next 6771.33 5374.29
pose 6771.36 5374.94
next 6771.36 5374.07
pose 6771.41 5374.8
next 6771.4 5373.96
pose 6771.43 5374.65
next 6771.42 5373.85
pose 6771.43 5374.65
next 6771.42 5373.85
pose 6771.42 5374.36
next 6771.41 5373.63
pose 6771.42 5374.21
next 6771.41 5373.51
pose 6771.42 5374.05
next 6771.41 5373.4
pose 6771.42 5373.9
next 6771.41 5373.29
pose 6771.42 5373.9
next 6771.41 5373.29
pose 6771.43 5373.75
next 6771.41 5373.17
pose 6771.42 5373.44
next 6771.41 5372.94
pose 6771.42 5373.29
next 6771.39 5372.36
pose 6771.42 5373.29
next 6771.39 5372.36
pose 6771.4 5372.98
next 6771.38 5372.21
pose 6771.4 5372.98
next 6771.38 5372.21
pose 6771.37 5372.83
next 6771.37 5372.13
pose 6771.37 5372.68
next 6771.37 5372.06
pose 6771.37 5372.29
next 6771.37 5371.44
pose 6771.37 5372.29
next 6771.37 5371.44
pose 6771.38 5372.06
next 6771.37 5371.44
pose 6771.38 5372.06
next 6771.37 5371.44
pose 6771.37 5371.75
next 6771.37 5371.44
pose 6771.37 5371.75
next 6771.37 5371.44
pose 6771.37 5371.59
next 6771.37 5371.44
pose 6771.37 5371.44
next 6771.37 5370.44
pose 6771.37 5371.28
next 6771.37 5370.32
pose 6771.36 5371.12
next 6771.37 5370.2
pose 6771.33 5370.97
next 6771.35 5370.09
pose 6771.28 5370.75
next 6771.31 5369.92
pose 6771.27 5370.68
next 6771.3 5369.87
pose 6771.28 5370.45
next 6771.31 5369.7
pose 6771.29 5370.37
next 6771.32 5369.64
pose 6771.31 5370.07
next 6771.33 5369.41
pose 6771.31 5370.07
next 6771.33 5369.41
pose 6771.31 5369.76
next 6771.34 5369.18
pose 6771.31 5369.6
next 6771.34 5369.06
pose 6771.31 5369.6
next 6771.34 5369.06
pose 6771.31 5369.44
next 6771.34 5368.94
pose 6771.34 5369.13
next 6771.37 5368.29
pose 6771.34 5369.13
next 6771.37 5368.29
pose 6771.36 5368.82
next 6771.38 5368.13
pose 6771.34 5368.67
next 6771.37 5368.05
pose 6771.34 5368.67
next 6771.37 5368.05
pose 6771.31 5368.44
next 6771.36 5367.94
pose 6771.31 5368.37
next 6771.4 5367.44
pose 6771.33 5368.22
next 6771.4 5367.44
pose 6771.37 5367.91
next 6771.4 5367.44
pose 6771.37 5367.91
next 6771.4 5367.44
pose 6771.39 5367.53
next 6771.4 5367.44
pose 6771.4 5367.37
next 6771.4 5366.75
pose 6771.4 5367.29
next 6771.41 5366.69
pose 6771.4 5367.29
next 6771.41 5366.69
pose 6771.45 5366.99
next 6771.45 5366.42
pose 6771.45 5366.99
next 6771.45 5366.42
pose 6771.48 5366.84
next 6771.47 5366.29
pose 6771.46 5366.54
next 6771.46 5366.03
pose 6771.43 5366.4
next 6771.43 5365.41
pose 6771.42 5366.25
next 6771.42 5365.29
pose 6771.42 5366.25
next 6771.42 5365.29
pose 6771.45 5366.03
next 6771.44 5365.13
pose 6771.45 5366.03
next 6771.44 5365.13
pose 6771.51 5365.67
next 6771.49 5364.86
pose 6771.51 5365.44
next 6771.49 5364.69
pose 6771.51 5365.44
next 6771.49 5364.69
pose 6771.5 5365.22
next 6771.49 5364.52
pose 6771.5 5365.22
next 6771.49 5364.52
pose 6771.49 5365.07
next 6771.48 5364.41
pose 6771.49 5364.77
next 6771.48 5364.18
pose 6771.49 5364.77
next 6771.48 5364.18
pose 6771.5 5364.46
next 6771.48 5363.96
pose 6771.5 5364.46
next 6771.48 5363.96
pose 6771.5 5364.31
next 6771.47 5363.37
pose 6771.49 5364.15
next 6771.47 5363.3
pose 6771.48 5364
next 6771.46 5363.22
pose 6771.45 5363.77
next 6771.45 5363.11
pose 6771.45 5363.62
next 6771.45 5363.03
pose 6771.45 5363.55
next 6771.45 5362.99
pose 6771.46 5363.24
next 6771.44 5362.44
pose 6771.46 5363.24
next 6771.44 5362.44
pose 6771.46 5363.01
next 6771.44 5362.44
pose 6771.46 5362.85
next 6771.44 5362.44
pose 6771.45 5362.78
next 6771.44 5362.44
pose 6771.43 5362.62
next 6771.44 5362.44
